Ridership Rank,Station Name,Line,Ridership,Midtown Direct Binary,stop_id,Official NJT Station Name,stop_lat,stop_lon,avg_trains_per_hour,Duration to NY Penn (mins),Distance from NY Penn (km),Total Parking Spaces,station_name,Popoulation_Density_weighted_avg,Median_Household_Income_weighted_avg,Percent_Bach_Degree_weighted_avg,Labor_Force_Participation_Rate_weighted_avg,Employment_Rate_weighted_avg,Unemployment_Rate_weighted_avg,Percent_Public_Transit_Users_weighted_avg,Median_Age_weighted_avg
48,Lyndhurst (MLBC),MLBC,929.0,0,75,LYNDHURST,40.816473,-74.124164,5.727272727272728,29.0,15.771532,470,LYNDHURST,3066.6839709667606,105954.64170551124,28.54184688114804,69.61796753652192,95.01267543304174,6.102333363640388,17.387666753905005,42.51994816501776
49,Roselle Park (RVL),RVL,908.0,0,31,ROSELLE PARK,40.66715,-74.266323,5.954545454545454,45.0,27.841582,190,ROSELLE PARK,2764.2999443067965,84465.95050107749,23.86088813027709,66.28632466526638,96.71269606526003,3.6333627015538825,8.641618426507257,38.72755380820608
50,Dunellen (RVL),RVL,904.0,0,36,DUNELLEN,40.590869,-74.463043,5.954545454545454,65.0,47.314596,368,DUNELLEN,1655.66969618929,76259.77473304552,21.9368761084775,69.96366175859075,92.2591435453697,9.210686959030085,8.370996252907773,41.67047686608499
51,Clifton (MLBC),MLBC,873.0,0,29,CLIFTON,40.867998,-74.153206,5.478260869565218,38.0,22.369826,437,CLIFTON,3557.86663675927,99375.84426790102,22.593920916546374,65.27113014569983,95.2182172581388,7.044031372362716,10.68154426662247,46.95964287704839
52,Hazlet (NJCL),NJCL,855.0,1,59,HAZLET,40.415385,-74.190393,9.0,79.0,59.706514,589,HAZLET,889.3307598748088,111410.12237294264,33.69203557636487,61.25392090594493,95.40990285501584,5.2487386114216354,13.211384586389498,48.82928202460268
53,RAMSEY ROUTE 17 STATION (MLBC),MLBC,834.0,0,38417,RAMSEY ROUTE 17 STATION,41.07513,-74.145485,8.0,53.0,47.797398,1221,RAMSEY ROUTE 17 STATION,1149.980188775933,124547.69284766963,43.095105703855324,64.63576841346014,94.70049240864012,5.299507591359888,9.313905608900283,45.76933860467683
54,Princeton (NEC),NEC,814.0,1,124,PRINCETON,40.342088,-74.65887,10.590909090909092,67.0,82.39820800000001,247,PRINCETON,1213.5730509600098,90957.93258841592,26.74101306264729,57.69363451739933,94.65295159423202,5.425523945720195,15.996406269759165,30.886050427326747
55,Watchung Avenue (M-B),M-B,802.0,1,153,WATCHUNG AVENUE,40.829514,-74.206934,4.652173913043479,44.0,27.519714,93,WATCHUNG AVENUE,2267.5117549262536,176504.27495615205,36.663300908111054,67.75378607123749,96.04216041748704,4.435881470487307,27.80517567853425,41.63664758238848
56,Perth Amboy (NJCL),NJCL,787.0,1,119,PERTH AMBOY,40.509398,-74.273752,9.272727272727272,47.0,45.06152,149,PERTH AMBOY,6295.326923712168,51080.37759178007,8.87772510495303,61.65917353746597,92.73814457986978,8.473892709681378,7.638523768564352,36.16753340981712
57,Plainfield (RVL),RVL,764.0,0,120,PLAINFIELD,40.618425,-74.420163,5.782608695652174,74.0,42.486576,189,PLAINFIELD,4410.141696525281,69269.6426797345,13.855561157642356,72.41961895200332,92.20649037328656,7.793509626713435,8.692823507691761,34.01781114999587
