Ridership Rank,Station Name,Line,Ridership,Midtown Direct Binary,stop_id,Official NJT Station Name,stop_lat,stop_lon,avg_trains_per_hour,Duration to NY Penn (mins),Distance from NY Penn (km),Total Parking Spaces,station_name,Popoulation_Density_weighted_avg,Median_Household_Income_weighted_avg,Percent_Bach_Degree_weighted_avg,Labor_Force_Participation_Rate_weighted_avg,Employment_Rate_weighted_avg,Unemployment_Rate_weighted_avg,Percent_Public_Transit_Users_weighted_avg,Median_Age_weighted_avg
123,Garwood (RVL),RVL,126.0,0,47,GARWOOD,40.652569,-74.324794,5.5,58.0,33.313338,0,GARWOOD,2003.948880073076,125440.30942891396,39.66163385249327,68.28886738138898,95.51017966458149,4.873146744471507,12.890264522484255,42.29041522921575
124,Allenhurst (NJCL),NJCL,123.0,0,4,ALLENHURST,40.237659,-74.006769,4.714285714285714,104.0,88.83556800000001,0,ALLENHURST,814.2403658052884,91947.5436870031,35.2565517198017,56.39409536123451,96.03114382304204,4.788024923710807,7.6599631376178845,42.668809947315054
125,Gladstone (GLAD),GLAD,121.0,0,49,GLADSTONE,40.720284,-74.666371,5.227272727272728,92.0,72.4203,0,GLADSTONE,58.40161123965347,122511.41761293844,32.757615056686284,58.27323100918222,96.74687975531069,3.2531202446893257,3.983086734010332,46.64010594136055
127,Mountain View (M-B),M-B,118.0,0,98,MOUNTAIN VIEW,40.914402,-74.268158,2.1666666666666665,70.0,41.681906,228,MOUNTAIN VIEW,528.741040295268,95243.49319108207,25.197137548051938,68.02172886073427,91.509866872018,8.49013312798201,6.525106655069519,40.36605042706353
128,Stirling (GLAD),GLAD,117.0,0,143,STIRLING,40.674579,-74.493723,5.863636363636363,72.0,50.372342,39,STIRLING,253.0338608179602,143081.50684415264,29.47629550879332,63.67928892088175,89.3752394014977,10.624760598502284,9.731414457140566,42.99463051925368
129,Elberon (NJCL),NJCL,115.0,0,40,ELBERON,40.265292,-73.99762,4.714285714285714,100.0,85.616888,222,ELBERON,629.3290966652805,97005.82242486562,26.469210339493003,56.111791808952354,95.09288451458048,5.437667777064063,7.878232613950998,38.695941707434656
130,Far Hills (GLAD),GLAD,113.0,0,45,FAR HILLS,40.68571,-74.633734,5.681818181818182,91.0,67.10947800000001,0,FAR HILLS,38.35930230207849,123200.05748329718,33.90924304564377,58.96668219226956,95.23656349944102,4.7634365005589885,4.139954279794041,48.911820523596894
131,Mount Arlington (M&E),M&E,110.0,1,39472,MOUNT ARLINGTON,40.89659,-74.632731,2.8125,95.0,77.570188,0,MOUNT ARLINGTON,220.21143946916592,95422.16864944604,29.79272713637758,69.30951109975943,99.79506264042104,1.644962302947224,3.0,52.41511552998251
132,Woodcliff Lake (Pascack),Pascack,108.0,0,159,WOODCLIFF LAKE,41.021078,-74.040775,3.333333333333333,56.0,39.589764,0,WOODCLIFF LAKE,1081.311102185325,136847.43444554412,32.67420529532777,68.69604420351473,97.38553553734548,3.377313485476774,9.065121749797784,42.6930186055126
133,WAYNE/ROUTE 23 TRANSIT CENTER [RR],M-B,106.0,1,39635,WAYNE/ROUTE 23 TRANSIT CENTER [RR],40.900254,-74.256971,2.1666666666666665,67.0,39.750698,996,WAYNE/ROUTE 23 TRANSIT CENTER [RR],451.71678710329047,79037.10779351287,21.0986856652047,64.87911247767292,95.10177277859648,6.960893291594175,8.1564737152372,35.184913294892155
134,Teterboro (Pascack),Pascack,104.0,0,146,TETERBORO,40.864858,-74.062676,3.3181818181818183,32.0,21.082354,0,TETERBORO,1000.9524051622922,76331.07646993503,17.716643228414245,67.43385572975895,95.60193032782703,4.869964125593262,8.86495951382066,38.06391766311157
135,Lincoln Park (M-B),M-B,101.0,0,69,LINCOLN PARK,40.924138,-74.301826,2.1666666666666665,76.0,44.739652,0,LINCOLN PARK,636.905185345148,102845.16932295189,28.035641441756475,68.27053415925421,91.86077648633206,10.672208231761168,4.329401824012471,49.7382112747433
137,White House (RVL),RVL,96.0,0,157,WHITE HOUSE,40.615611,-74.77066,1.5333333333333334,95.0,76.604584,0,WHITE HOUSE,133.72269355909833,136030.0167774462,32.606781104645144,60.15471022157269,95.06781084032308,7.992975669629271,7.253212527358949,53.67375149226029
138,Hackettstown (M&E),M&E,85.0,1,54,HACKETTSTOWN,40.851444,-74.835352,1.5714285714285714,121.0,100.744684,99,HACKETTSTOWN,507.406156441718,85507.80031984676,23.939160806758487,67.03260580577911,93.9630571978786,6.0369428021213976,1.7747727135870874,43.29641146578627
139,Netcong (M&E),M&E,82.0,1,101,NETCONG,40.897552,-74.707317,1.6875,104.0,85.455954,0,NETCONG,229.3505655306078,148999.28523868718,38.93211377294891,69.82252333095583,87.00002183712715,11.314730284955871,2.7304182592603072,41.878005265659375
140,Towaco (M-B),M-B,80.0,0,147,TOWACO,40.922809,-74.343842,2.1666666666666665,81.0,48.441134000000005,0,TOWACO,505.570338840078,132098.11863123236,40.93021714844361,63.522348396122936,95.2182416645666,4.781758335433404,7.094517085764241,49.15158977859397
141,Basking Ridge (GLAD),GLAD,79.0,0,12,BASKING RIDGE,40.711378,-74.55527,5.863636363636363,82.0,58.419042,89,BASKING RIDGE,435.8636441138684,139490.9901033314,36.92461455208317,59.53025845261992,96.8755135248776,7.870067815135382,7.624268393212473,45.47761002242096
143,Annandale (RVL),RVL,65.0,0,6,ANNANDALE,40.645173,-74.878569,1.6428571428571428,105.0,86.260624,0,ANNANDALE,143.94656918873588,141330.71465561187,25.024908012506856,50.4291331407327,94.56055891600737,5.340281918136346,2.457466918714556,45.97500866526509
144,Boonton (M-B),M-B,58.0,0,20,BOONTON,40.903378,-74.407736,2.1666666666666665,87.0,55.039428,0,BOONTON,536.8908441226671,135166.2315785062,38.67141131995854,61.88487824576372,96.1361387614718,4.110610358668443,5.28505364470761,46.077624916854376
145,High Bridge (RVL),RVL,50.0,0,60,HIGH BRIDGE,40.666884,-74.895863,1.5333333333333334,110.0,89.31837,40,HIGH BRIDGE,466.11381907130846,115129.83349236252,32.946167969694955,66.07721654417854,92.88808284261772,8.037558923183763,2.318927308276556,41.18522245410518
146,North Branch (RVL),RVL,48.0,0,108,NORTH BRANCH,40.59202,-74.683802,1.5333333333333334,88.0,68.557884,0,NORTH BRANCH,359.6079352137139,133772.3657627146,33.419514165899464,71.84707934958627,94.5641302444994,5.378420084489794,3.4895883846959115,44.89326137749465
147,Lake Hopatcong (M&E),M&E,45.0,1,67,LAKE HOPATCONG,40.904219,-74.665697,2.8125,99.0,81.432604,0,LAKE HOPATCONG,583.2296255553393,76238.793231896,22.69663392610529,66.42601635704678,97.49240540691468,3.5929501956070435,6.5805510242456124,32.42424882390086
148,Peapack (GLAD),GLAD,36.0,0,117,PEAPACK,40.708794,-74.658469,5.681818181818182,87.0,70.971894,0,PEAPACK,173.9006742927927,120407.55089362856,31.6663093205627,57.3565911679277,97.54219127703472,2.457808722965258,4.537264224638766,38.200677929754896
149,Mount Tabor (M&E),M&E,30.0,1,94,MOUNT TABOR,40.875904,-74.481915,4.571428571428571,73.0,61.798656,0,MOUNT TABOR,682.6121499670601,150906.31588612733,33.926886107004755,68.92181557101978,94.15128507152671,5.848714928473258,3.634733496370647,46.57832733223555
150,Lebanon (RVL),RVL,21.0,0,68,LEBANON,40.636903,-74.835766,1.5333333333333334,101.0,82.559142,0,LEBANON,102.92250555276172,139156.7328306868,24.40119319395224,58.45319266394921,96.53871932126523,3.4612806787347346,2.526487367563162,54.70765635318326
151,Mountain Lakes (M-B),M-B,17.0,0,96,MOUNTAIN LAKES,40.885947,-74.433604,2.1666666666666665,90.0,57.93624,0,MOUNTAIN LAKES,606.9582690295919,165275.19648816492,37.4947321297563,63.039388445311296,94.5724149960444,5.427585003955594,5.904812344148483,46.620019265228336
152,Mount Olive (M&E),M&E,16.0,1,93,MOUNT OLIVE,40.907376,-74.730653,1.6875,109.0,88.83556800000001,0,MOUNT OLIVE,148.64023977548055,166017.59768298976,42.94106207179888,71.33904054973786,84.0475454298867,12.8781078318851,2.39265601589316,45.34310181832311
